Quote#,Line,part_number,Process,Spec,minimum, Unit_Price ,Lead_Time, Line_Minimum ,Order_Minimum,Lot_charge,Vendor,Contact Email,notes,file location
,,0021-18096,Clean,0250-70351 TYPI,75, $4.45 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0020-75979,Clean,0250-20000 APPA,75, $3.15 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0042-27025,Clean,0250-29357,75, $11.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0042-27026,Clean,0250-29357,75, $5.70 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0021-76671,Clean,0250-20000 APPD,75, $13.75 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0020-30115,Chromate Gold,MIL-C-5541,65, $0.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0021-26763,Zinc Plate Gold,ASTM B633 TYPII,65, $2.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0041-33750,Clean,0250-09720,75, $31.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0021-28330,Clean,0250-70351 TYPII,75, $15.25 ,5,,,,,#N/A,,
7969,1,0022-38799,ELECTROLESS NICKEL,MIL-C-26074,,,,,,,,,,
7990,1,0042-67371,CLEAN,0250-20000,100, $48.45 ,7,,,,AI,slanouette@aiindustries.com,,F:\Dustin Drab\PythonProjects\rfq-sender\docs\OS\Responses\7990
7990,1,0042-67371,CLEAN,0250-20000,145, $91.93 ,5,,,,Pentagon,quotecreate@pen-tec.com,,F:\Dustin Drab\PythonProjects\rfq-sender\docs\OS\Responses\7990
7990,1,0042-67371,CLEAN,0250-20000,,,,,,,Nxedge,nxe-apc.quotes@nxedge.com,,
7990,1,0042-67371,CLEAN,0250-20000,,,,,,,CMT,dawn@cmtfinishing.com,,
7990,1,0042-67371,SURFACE,0251-02264,145, $95.50 ,5,,,,Pentagon,quotecreate@pen-tec.com,,F:\Dustin Drab\PythonProjects\rfq-sender\docs\OS\Responses\7990
7990,1,0042-67371,SURFACE,0251-02264,,,,,,,Nxedge,nxe-apc.quotes@nxedge.com,,
7892,8,0041-81823,Chromate Conversion,MIL-C-5541,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250605 - 422857
7892,8,0041-81823,Chromate Conversion,MIL-C-5541,"Brooks Industrial Coatings, Inc.",spowell@bic-texas.com,YES,G:\Applied Materials\20250605 - 422857
7833,1,0020-34828,ANODIZE,"MIL—A-—8625C,","Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250528 - 421485
7833,1,0020-34828,ANODIZE,"MIL—A-—8625C,","Brooks Industrial Coatings, Inc.",spowell@bic-texas.com,YES,G:\Applied Materials\20250528 - 421485
7833,1,0020-34828,ANODIZE,"MIL—A-—8625C,",Gleco Plating,cory@glecoplating.com,YES,G:\Applied Materials\20250528 - 421485
7833,1,0020-34828,ANODIZE,"MIL—A-—8625C,",Nxedge Inc.,Nxe-APC.Quotes@nxedge.com,YES,G:\Applied Materials\20250528 - 421485
7892,8,0041-81823,Chromate Conversion,MIL-C-5541,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250605 - 422857
7892,8,0041-81823,Chromate Conversion,MIL-C-5541,"Brooks Industrial Coatings, Inc.",spowell@bic-texas.com,YES,G:\Applied Materials\20250605 - 422857
7833,1,0020-34828,ANODIZE,"MIL—A-—8625C,","Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250528 - 421485
7833,1,0020-34828,ANODIZE,"MIL—A-—8625C,","Brooks Industrial Coatings, Inc.",spowell@bic-texas.com,YES,G:\Applied Materials\20250528 - 421485
7833,1,0020-34828,ANODIZE,"MIL—A-—8625C,",Gleco Plating,cory@glecoplating.com,YES,G:\Applied Materials\20250528 - 421485
7833,1,0020-34828,ANODIZE,"MIL—A-—8625C,",Nxedge Inc.,Nxe-APC.Quotes@nxedge.com,YES,G:\Applied Materials\20250528 - 421485
7803,1,0023-44467,zinc,ASTM B633,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250522 - 420511
7803,1,0023-44467,zinc,ASTM B633,Gleco Plating,cory@glecoplating.com,YES,G:\Applied Materials\20250522 - 420511
7969,4,0022-38846,ZINC,ASTM B633,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Indicon\20250618 - 0090-13611
7969,4,0022-38846,ZINC,ASTM B633,Gleco Plating,cory@glecoplating.com,YES,G:\Indicon\20250618 - 0090-13611
8137,1,0041-12177,Chromate Conversion,MIL-DTL-5541,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Chromate Conversion,MIL-DTL-5541,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Chromate Conversion,MIL-DTL-5541,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Chromate Conversion,MIL-DTL-5541,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Chromate Conversion,MIL-DTL-5541,Gleco Plating,cory@glecoplating.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Chromate Conversion,MIL-DTL-5541,Gleco Plating,cory@glecoplating.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Chromate Conversion,MIL-DTL-5541,Gleco Plating,cory@glecoplating.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Chromate Conversion,MIL-DTL-5541,Gleco Plating,cory@glecoplating.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Clean,0250-20000,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Clean,0250-20000,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Clean,0250-20000,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Clean,0250-20000,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Clean,0250-20000,Nxedge Inc.,Nxe-APC.Quotes@nxedge.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Clean,0250-20000,Nxedge Inc.,Nxe-APC.Quotes@nxedge.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Clean,0250-20000,Nxedge Inc.,Nxe-APC.Quotes@nxedge.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Clean,0250-20000,Nxedge Inc.,Nxe-APC.Quotes@nxedge.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Clean,0250-20000,Pentagon Technologies,quotecreate@pen-tec.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Clean,0250-20000,Pentagon Technologies,quotecreate@pen-tec.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Clean,0250-20000,Pentagon Technologies,quotecreate@pen-tec.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Clean,0250-20000,Pentagon Technologies,quotecreate@pen-tec.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Clean,0250-20000,AI Industries,slanouette@aiindustries.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Clean,0250-20000,AI Industries,slanouette@aiindustries.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Clean,0250-20000,AI Industries,slanouette@aiindustries.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Clean,0250-20000,AI Industries,slanouette@aiindustries.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Chromate Conversion,MIL-DTL-5541,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Chromate Conversion,MIL-DTL-5541,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Chromate Conversion,MIL-DTL-5541,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Chromate Conversion,MIL-DTL-5541,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Chromate Conversion,MIL-DTL-5541,Gleco Plating,cory@glecoplating.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Chromate Conversion,MIL-DTL-5541,Gleco Plating,cory@glecoplating.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Chromate Conversion,MIL-DTL-5541,Gleco Plating,cory@glecoplating.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Chromate Conversion,MIL-DTL-5541,Gleco Plating,cory@glecoplating.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Clean,0250-20000,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Clean,0250-20000,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Clean,0250-20000,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Clean,0250-20000,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Clean,0250-20000,Nxedge Inc.,Nxe-APC.Quotes@nxedge.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Clean,0250-20000,Nxedge Inc.,Nxe-APC.Quotes@nxedge.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Clean,0250-20000,Nxedge Inc.,Nxe-APC.Quotes@nxedge.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Clean,0250-20000,Nxedge Inc.,Nxe-APC.Quotes@nxedge.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Clean,0250-20000,Pentagon Technologies,quotecreate@pen-tec.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Clean,0250-20000,Pentagon Technologies,quotecreate@pen-tec.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Clean,0250-20000,Pentagon Technologies,quotecreate@pen-tec.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Clean,0250-20000,Pentagon Technologies,quotecreate@pen-tec.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Clean,0250-20000,AI Industries,slanouette@aiindustries.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Clean,0250-20000,AI Industries,slanouette@aiindustries.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Clean,0250-20000,AI Industries,slanouette@aiindustries.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Clean,0250-20000,AI Industries,slanouette@aiindustries.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Chromate Conversion,MIL-DTL-5541,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Chromate Conversion,MIL-DTL-5541,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Chromate Conversion,MIL-DTL-5541,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Chromate Conversion,MIL-DTL-5541,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Chromate Conversion,MIL-DTL-5541,Gleco Plating,cory@glecoplating.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Chromate Conversion,MIL-DTL-5541,Gleco Plating,cory@glecoplating.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Chromate Conversion,MIL-DTL-5541,Gleco Plating,cory@glecoplating.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Chromate Conversion,MIL-DTL-5541,Gleco Plating,cory@glecoplating.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Clean,0250-20000,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Clean,0250-20000,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Clean,0250-20000,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Clean,0250-20000,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Clean,0250-20000,Nxedge Inc.,Nxe-APC.Quotes@nxedge.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Clean,0250-20000,Nxedge Inc.,Nxe-APC.Quotes@nxedge.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Clean,0250-20000,Nxedge Inc.,Nxe-APC.Quotes@nxedge.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Clean,0250-20000,Nxedge Inc.,Nxe-APC.Quotes@nxedge.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Clean,0250-20000,Pentagon Technologies,quotecreate@pen-tec.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Clean,0250-20000,Pentagon Technologies,quotecreate@pen-tec.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Clean,0250-20000,Pentagon Technologies,quotecreate@pen-tec.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Clean,0250-20000,Pentagon Technologies,quotecreate@pen-tec.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Clean,0250-20000,AI Industries,slanouette@aiindustries.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Clean,0250-20000,AI Industries,slanouette@aiindustries.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Clean,0250-20000,AI Industries,slanouette@aiindustries.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Clean,0250-20000,AI Industries,slanouette@aiindustries.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Chromate Conversion,MIL-DTL-5541,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Chromate Conversion,MIL-DTL-5541,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Chromate Conversion,MIL-DTL-5541,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Chromate Conversion,MIL-DTL-5541,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Chromate Conversion,MIL-DTL-5541,Gleco Plating,cory@glecoplating.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Chromate Conversion,MIL-DTL-5541,Gleco Plating,cory@glecoplating.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Chromate Conversion,MIL-DTL-5541,Gleco Plating,cory@glecoplating.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Chromate Conversion,MIL-DTL-5541,Gleco Plating,cory@glecoplating.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Clean,0250-20000,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Clean,0250-20000,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Clean,0250-20000,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Clean,0250-20000,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Clean,0250-20000,Nxedge Inc.,Nxe-APC.Quotes@nxedge.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Clean,0250-20000,Nxedge Inc.,Nxe-APC.Quotes@nxedge.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Clean,0250-20000,Nxedge Inc.,Nxe-APC.Quotes@nxedge.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Clean,0250-20000,Nxedge Inc.,Nxe-APC.Quotes@nxedge.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Clean,0250-20000,Pentagon Technologies,quotecreate@pen-tec.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Clean,0250-20000,Pentagon Technologies,quotecreate@pen-tec.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Clean,0250-20000,Pentagon Technologies,quotecreate@pen-tec.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Clean,0250-20000,Pentagon Technologies,quotecreate@pen-tec.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Clean,0250-20000,AI Industries,slanouette@aiindustries.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Clean,0250-20000,AI Industries,slanouette@aiindustries.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Clean,0250-20000,AI Industries,slanouette@aiindustries.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Clean,0250-20000,AI Industries,slanouette@aiindustries.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Chromate Conversion,MIL-DTL-5541,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Chromate Conversion,MIL-DTL-5541,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Chromate Conversion,MIL-DTL-5541,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Chromate Conversion,MIL-DTL-5541,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Chromate Conversion,MIL-DTL-5541,Gleco Plating,cory@glecoplating.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Chromate Conversion,MIL-DTL-5541,Gleco Plating,cory@glecoplating.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Chromate Conversion,MIL-DTL-5541,Gleco Plating,cory@glecoplating.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Chromate Conversion,MIL-DTL-5541,Gleco Plating,cory@glecoplating.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Clean,0250-20000,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Clean,0250-20000,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Clean,0250-20000,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Clean,0250-20000,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Clean,0250-20000,Nxedge Inc.,Nxe-APC.Quotes@nxedge.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Clean,0250-20000,Nxedge Inc.,Nxe-APC.Quotes@nxedge.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Clean,0250-20000,Nxedge Inc.,Nxe-APC.Quotes@nxedge.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Clean,0250-20000,Nxedge Inc.,Nxe-APC.Quotes@nxedge.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Clean,0250-20000,Pentagon Technologies,quotecreate@pen-tec.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Clean,0250-20000,Pentagon Technologies,quotecreate@pen-tec.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Clean,0250-20000,Pentagon Technologies,quotecreate@pen-tec.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Clean,0250-20000,Pentagon Technologies,quotecreate@pen-tec.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Clean,0250-20000,AI Industries,slanouette@aiindustries.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Clean,0250-20000,AI Industries,slanouette@aiindustries.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Clean,0250-20000,AI Industries,slanouette@aiindustries.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Clean,0250-20000,AI Industries,slanouette@aiindustries.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Chromate Conversion,MIL-DTL-5541,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Chromate Conversion,MIL-DTL-5541,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Chromate Conversion,MIL-DTL-5541,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Chromate Conversion,MIL-DTL-5541,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Chromate Conversion,MIL-DTL-5541,Gleco Plating,cory@glecoplating.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Chromate Conversion,MIL-DTL-5541,Gleco Plating,cory@glecoplating.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Chromate Conversion,MIL-DTL-5541,Gleco Plating,cory@glecoplating.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Chromate Conversion,MIL-DTL-5541,Gleco Plating,cory@glecoplating.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Clean,0250-20000,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Clean,0250-20000,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Clean,0250-20000,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Clean,0250-20000,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Clean,0250-20000,Nxedge Inc.,Nxe-APC.Quotes@nxedge.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Clean,0250-20000,Nxedge Inc.,Nxe-APC.Quotes@nxedge.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Clean,0250-20000,Nxedge Inc.,Nxe-APC.Quotes@nxedge.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Clean,0250-20000,Nxedge Inc.,Nxe-APC.Quotes@nxedge.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Clean,0250-20000,Pentagon Technologies,quotecreate@pen-tec.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Clean,0250-20000,Pentagon Technologies,quotecreate@pen-tec.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Clean,0250-20000,Pentagon Technologies,quotecreate@pen-tec.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Clean,0250-20000,Pentagon Technologies,quotecreate@pen-tec.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Clean,0250-20000,AI Industries,slanouette@aiindustries.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Clean,0250-20000,AI Industries,slanouette@aiindustries.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Clean,0250-20000,AI Industries,slanouette@aiindustries.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Clean,0250-20000,AI Industries,slanouette@aiindustries.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Chromate Conversion,MIL-DTL-5541,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Chromate Conversion,MIL-DTL-5541,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Chromate Conversion,MIL-DTL-5541,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Chromate Conversion,MIL-DTL-5541,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Chromate Conversion,MIL-DTL-5541,Gleco Plating,cory@glecoplating.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Chromate Conversion,MIL-DTL-5541,Gleco Plating,cory@glecoplating.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Chromate Conversion,MIL-DTL-5541,Gleco Plating,cory@glecoplating.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Chromate Conversion,MIL-DTL-5541,Gleco Plating,cory@glecoplating.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Clean,0250-20000,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Clean,0250-20000,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Clean,0250-20000,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,4,0042-98851,Clean,0250-20000,"Consolidated Metal Technologies, Inc.",dawn@cmtfinishing.com,YES,G:\Applied Materials\20250707 - 427075
8137,1,0041-12177,Clean,0250-20000,Nxedge Inc.,Nxe-APC.Quotes@nxedge.com,YES,G:\Applied Materials\20250707 - 427075
8137,2,0041-25104,Clean,0250-20000,Nxedge Inc.,Nxe-APC.Quotes@nxedge.com,YES,G:\Applied Materials\20250707 - 427075
8137,3,0042-98849,Clean,0250-20000,Nxedge Inc.,Nxe-APC.Quotes@nxedge.com,YES,G:\Applied Materials\20250707 - 427075
